sentiment,message,tweetid,cleaned_message,tweet_date,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_category,month
2,Obamas Earth Day trek to Fla. to highlight climate change,592878900671307777,obamas earth day trek to fla. to highlight climate change,2015-04-28 04:31:59.734,0.34,0.211,0.789,0.0,positive,2015-04
0,"#Tarragona #Empleo Marie s.curie if at; Center for Climate Change (C3), Campus Terres de l´Ebre, University Ro... http://t.co/qhkg6ySbga",593358357076914176,"tarragona empleo marie s.curie if at; center for climate change c3 , campus terres de l ebre, university ro...",2015-04-29 12:17:11.049,0.0,0.0,1.0,0.0,neutral,2015-04
2,"RT @texasaunt: EPA spends $84,000 to study churches that preach climate change via the @FoxNews app http://t.co/k43vLieSDt",592881634493476864,"rt texasaunt: epa spends 84,000 to study churches that preach climate change via the foxnews app",2015-04-28 04:42:51.528,0.0,0.0,1.0,0.0,neutral,2015-04
0,RT @AndaTahu: Kentut dari hewan-hewan purba adalah penyebab utama global warming di zaman dinosaurus. [BBCnews],593223135295471616,rt andatahu: kentut dari hewan hewan purba adalah penyebab utama global warming di zaman dinosaurus. bbcnews,2015-04-29 03:19:51.664,0.1531,0.103,0.897,0.0,positive,2015-04
2,Top scientists start to examine fiddled global warming figures - Telegraph http://t.co/sbc8dvhyUE,593186099020759041,top scientists start to examine fiddled global warming figures telegraph,2015-04-29 00:52:41.528,0.34,0.274,0.726,0.0,positive,2015-04
2,RT @amworldtodaypm: Climate change report warns infectious diseases will spread more rapidly as temperatures rise http://t.co/CJ6l2JdEWS,593631537666461696,rt amworldtodaypm: climate change report warns infectious diseases will spread more rapidly as temperatures rise,2015-04-30 06:22:42.377,-0.1027,0.0,0.915,0.085,negative,2015-04
1,RT @WhiteHouse: RT if you agree: It$q$s time to mobilize the world to combat climate change → https://t.co/RyN9RCpgtQ #ActOnClimate,592668667273416704,rt whitehouse: rt if you agree: it q s time to mobilize the world to combat climate change actonclimate,2015-04-27 14:36:36.186,0.0258,0.12,0.766,0.115,neutral,2015-04
2,Koch think tank says the Pope is wrong about climate change http://t.co/jZlDypuRQo,592703015309705216,koch think tank says the pope is wrong about climate change,2015-04-27 16:53:05.396,-0.4767,0.0,0.78,0.22,negative,2015-04
2,RT @TheEconomist: Could the Pope become the world$q$s foremost global warming campaigner? Many certainly hope so http://t.co/RCVHty4tMU http:…,593698117041655808,rt theeconomist: could the pope become the world q s foremost global warming campaigner? many certainly hope so,2015-04-30 10:47:16.137,0.7096,0.315,0.685,0.0,positive,2015-04
-1,RT @JunkScience: WaPo: Close Mt. Everest b/c of global warming. http://t.co/bpvbqKX7s5,592860482358345728,rt junkscience: wapo: close mt. everest b c of global warming.,2015-04-28 03:18:48.466,0.1531,0.138,0.862,0.0,positive,2015-04
1,"Huge…? RT @ezraklein: The Pope is framing global warming as a moral issue, and it$q$s freaking climate deniers out: http://t.co/gx4QRm1ADn",593550943381114880,"huge ? rt ezraklein: the pope is framing global warming as a moral issue, and it q s freaking climate deniers out:",2015-04-30 01:02:27.202,-0.5106,0.071,0.711,0.218,negative,2015-04
1,"Contrarians, govts &amp; corp vested interests miss the point - climate change can wipe us out &amp; probably will very soon. http://t.co/YuNn0yTvDa",593719211572105216,"contrarians, govts amp; corp vested interests miss the point climate change can wipe us out amp; probably will very soon.",2015-04-30 12:11:05.465,0.25,0.155,0.776,0.069,positive,2015-04
2,Vatican summit: ‘There is a moral imperative to act on climate change’ http://t.co/6usMmDbfng http://t.co/UNyid7IYov,593398469878009856,vatican summit: there is a moral imperative to act on climate change,2015-04-29 14:56:34.686,0.0,0.0,1.0,0.0,neutral,2015-04
1,RT @WRIClimate: Inglis- #climate change can be a great opportunity. We need to frame it that way @bobinglis,593896189260468224,rt wriclimate: inglis climate change can be a great opportunity. we need to frame it that way bobinglis,2015-04-30 23:54:20.234,0.7845,0.315,0.685,0.0,positive,2015-04
2,Vatican and U.N. team up on climate change against skeptics - Yahoo News Canada https://t.co/SFdwIt0bhQ via @yahoocanadanews Pope &gt;Scientist,593452495780843520,vatican and u.n. team up on climate change against skeptics yahoo news canada via yahoocanadanews pope gt;scientist,2015-04-29 18:31:15.465,-0.1027,0.0,0.924,0.076,negative,2015-04
1,RT @PBSDS: How cow gas is affecting global warming and climate change: http://t.co/H4s10fq9DY http://t.co/GnDeNWPhHK,593026272881680384,rt pbsds: how cow gas is affecting global warming and climate change:,2015-04-28 14:17:36.007,0.1531,0.11,0.89,0.0,positive,2015-04
0,The Fix: Can Pope Francis actually change Americans’ minds on climate change? http://t.co/smEij6I37Q,593151093615398912,the fix: can pope francis actually change americans minds on climate change?,2015-04-28 22:33:35.589,0.0,0.0,1.0,0.0,neutral,2015-04
0,"This global warming video said people eat an average of 3 burgers a week, I SAID BITCH WHERE?!? 🔭🔬🔍🔦",593229950460829698,"this global warming video said people eat an average of 3 burgers a week, i said bitch where?!?",2015-04-29 03:46:56.526,-0.6793,0.077,0.674,0.249,negative,2015-04
1,RT @CityLab: A proposed solution to climate change: Quarantined bubble domes http://t.co/zFZGDGFtAg http://t.co/MiqsEljrs7,593447323629420545,rt citylab: a proposed solution to climate change: quarantined bubble domes,2015-04-29 18:10:42.328,0.3182,0.173,0.827,0.0,positive,2015-04
1,$q$John Kerry knows cities hold the key to fighting climate change$q$ #urbanplanning #cities #climate #action http://t.co/2feG10Px1z,592964377751388160,q john kerry knows cities hold the key to fighting climate change q urbanplanning cities climate action,2015-04-28 10:11:39.058,-0.3612,0.0,0.857,0.143,negative,2015-04
0,Me on the frq about climate change http://t.co/IgPomwlIZb,595269314867032064,me on the frq about climate change,2015-05-04 18:50:38.890,0.0,0.0,1.0,0.0,neutral,2015-05
2,RT @IndyUSA: California$q$s governor orders drastic cut in greenhouse gas emissions to combat climate change http://t.co/mP9ou7vpXj http://t.…,594261127288201216,rt indyusa: california q s governor orders drastic cut in greenhouse gas emissions to combat climate change,2015-05-02 00:04:28.240,-0.5423,0.0,0.769,0.231,negative,2015-05
2,Jeb Bush: To Say Science Is Deciding on Climate Change Is ‘Intellectual Arrogance’ - https://t.co/QKBhvu4t1c,601745147114590208,jeb bush: to say science is deciding on climate change is intellectual arrogance,2015-05-22 15:43:17.613,0.0,0.0,1.0,0.0,neutral,2015-05
2,@SakhalinTribune Obama Takes On Hurricane Preps &amp; Climate Change,604014978190823424,sakhalintribune obama takes on hurricane preps amp; climate change,2015-05-28 22:02:47.513,0.0,0.0,1.0,0.0,neutral,2015-05
-1,"@POTUS greatest threat to national security is, $q$climate change$q$. HEELLLLOOO. .. ISIS? You heard of them??? Please wake the f### up...",603754676421558273,"potus greatest threat to national security is, q climate change q . heellllooo. .. isis? you heard of them??? please wake the f up...",2015-05-28 04:48:26.735,0.755,0.326,0.562,0.112,positive,2015-05
2,"RT @coolmyplanet: Indian Ocean storing up heat from global warming, reports Climate Central http://t.co/l2ezkETH9G http://t.co/8zV8I9Ldap",602793095646707712,"rt coolmyplanet: indian ocean storing up heat from global warming, reports climate central",2015-05-25 13:07:28.013,0.1531,0.103,0.897,0.0,positive,2015-05
2,"5/25/15: $q$FLOTUS PRAISES OBAMA’S ‘CHANGE’ ON LGBT RIGHTS, CLIMATE CHANGE, RACE$q$ by PAM KEY

http://t.co/tnPTb3zrtM",603358870820364288,"5 25 15: q flotus praises obama s change on lgbt rights, climate change, race q by pam key",2015-05-27 02:35:39.326,0.6289,0.228,0.772,0.0,positive,2015-05
2,"In Coast Guard commencement, Obama to link climate change to national security http://t.co/h86BYhg1ML #politics",600977219477868544,"in coast guard commencement, obama to link climate change to national security politics",2015-05-20 12:51:49.397,0.34,0.156,0.844,0.0,positive,2015-05
0,RT @smitty_one_each: #askhillary If peasants should be taxed by the mile to halt anthropogenic global warming.,594617410335838208,rt smitty_one_each: askhillary if peasants should be taxed by the mile to halt anthropogenic global warming.,2015-05-02 23:40:12.738,0.1531,0.096,0.904,0.0,positive,2015-05
0,"What Everybody Ought to Know About the Effects of Global Warming on the Distribution, #effects #global #warming http://t.co/9fCLjfO0kN",599794109310640128,"what everybody ought to know about the effects of global warming on the distribution, effects global warming",2015-05-17 06:30:33.952,0.1531,0.086,0.914,0.0,positive,2015-05
1,"RT @guardianeco: VIDEO: Dear .@BillGates, will you lead the fight against climate change? http://t.co/jh0WwDWbLs #keepitintheground http://…",596210526381744128,"rt guardianeco: video: dear . billgates, will you lead the fight against climate change? keepitintheground",2015-05-07 09:10:41.202,0.0,0.135,0.729,0.135,neutral,2015-05
2,Obama: Climate change a national security issue http://t.co/1q5DAwsGWg,604001247297953792,obama: climate change a national security issue,2015-05-28 21:08:13.813,0.34,0.286,0.714,0.0,positive,2015-05
1,RT @EI_Rainforest: El Niño 2015 Forecast to ‘Raise Global Temperatures’: ENS http://t.co/vaCEk8Fiyl *abrupt climate change http://t.co/EHRc…,600609157679484929,rt ei_rainforest: el niño 2015 forecast to raise global temperatures : ens abrupt climate change,2015-05-19 12:29:16.626,0.0,0.0,1.0,0.0,neutral,2015-05
1,RT @WhiteHouse: $q$Climate change will impact every country on the planet. No nation is immune.$q$ —@POTUS #ActOnClimate http://t.co/po1iaxdjsq,602689266880225280,rt whitehouse: q climate change will impact every country on the planet. no nation is immune. q potus actonclimate,2015-05-25 06:14:53.306,-0.296,0.0,0.885,0.115,negative,2015-05
2,Australia: PM$q$s adviser says climate change a UN hoax http://t.co/T6bxgWeGzG,598423621384708096,australia: pm q s adviser says climate change a un hoax,2015-05-13 11:44:44.168,-0.2732,0.0,0.792,0.208,negative,2015-05
0,@maddiemcpeters I$q$m too hot in these you may have to take these down due to me causing global warming,601476862318145537,maddiemcpeters i q m too hot in these you may have to take these down due to me causing global warming,2015-05-21 21:57:13.533,0.1531,0.082,0.918,0.0,positive,2015-05
2,RT @mellberr: » http://t.co/Bus29XQyth Ireland #Ireland UN chief urges Ireland to lead on climate change 917 http://t.co/lbzvMG0NeI,603267644620341248,rt mellberr: ireland ireland un chief urges ireland to lead on climate change 917,2015-05-26 20:33:09.305,0.0,0.0,1.0,0.0,neutral,2015-05
0,#CassiTip #6 - if you are concerned about the effect of climate change on African harvests - sacrifice your bff to the rain gods!,594953649626939393,cassitip 6 if you are concerned about the effect of climate change on african harvests sacrifice your bff to the rain gods!,2015-05-03 21:56:18.432,0.636,0.166,0.834,0.0,positive,2015-05
2,"Reshuffle sees new ministers for science, culture and climate change - http://t.co/zuPI55v0NF http://t.co/LtMMy6kA2m",597846535540502528,"reshuffle sees new ministers for science, culture and climate change",2015-05-11 21:31:36.181,0.0,0.0,1.0,0.0,neutral,2015-05
2,Climate change action to be strengthened under new law http://t.co/yzsfn9l1bp,601356937427574785,climate change action to be strengthened under new law,2015-05-21 14:00:41.211,0.4215,0.237,0.763,0.0,positive,2015-05
1,Key climate change goal may be missed: http://t.co/Hy44hbWpP9 (via @thehill) #ActOnClimate,595587593783377920,key climate change goal may be missed: via thehill actonclimate,2015-05-05 15:55:22.497,-0.296,0.0,0.82,0.18,negative,2015-05
1,RT @GuardianAus: Climate change: eight big myths that need to be exploded  http://t.co/PVhKKfDQMI #climate #climatechange #environment http…,595000461154877440,rt guardianaus: climate change: eight big myths that need to be exploded climate climatechange environment,2015-05-04 01:02:19.170,0.0,0.0,1.0,0.0,neutral,2015-05
0,"Bill Nye compares climate change to World War II: Technically Incorrect: In giving the graduation speech at Rutgers University, the $q$...",600412502392840193,"bill nye compares climate change to world war ii: technically incorrect: in giving the graduation speech at rutgers university, the q ...",2015-05-18 23:27:50.352,-0.3612,0.095,0.751,0.154,negative,2015-05
2,How would climate change regulations help now? Study seeks answer. - Christian Science Monitor http://t.co/dIPnnKhEan,595401457114943488,how would climate change regulations help now? study seeks answer. christian science monitor,2015-05-05 03:35:44.057,0.4019,0.172,0.828,0.0,positive,2015-05
0,"@hardcrustysocks @rsmccain @LifelongFighter 

If One Could Harness Radfem Indignation, Climate Change Would Occur!",603980821117145088,"hardcrustysocks rsmccain lifelongfighter if one could harness radfem indignation, climate change would occur!",2015-05-28 19:47:03.832,-0.5707,0.0,0.765,0.235,negative,2015-05
0,Global warming gone mad http://t.co/AOeARFg778,600784660449382400,global warming gone mad,2015-05-20 00:06:39.747,-0.3818,0.205,0.385,0.41,negative,2015-05
-1,RT @The_Tom_Cat: Dummycrats!! Global Cooling = winter  Global Warming = Summer   Did you idiots just sleep in class??? http://t.co/9kSInrMX…,594841747437522944,rt the_tom_cat: dummycrats!! global cooling winter global warming summer did you idiots just sleep in class???,2015-05-03 14:31:38.871,0.4067,0.145,0.855,0.0,positive,2015-05
1,RT @Craken_MacCraic: Those that think climate change is a global conspiracy by scientists clearly never met scientists. Organizing meeting …,598066235134386176,rt craken_maccraic: those that think climate change is a global conspiracy by scientists clearly never met scientists. organizing meeting,2015-05-12 12:04:36.646,-0.1779,0.122,0.724,0.154,negative,2015-05
0,RT @SEB00TYLICI0US: his smile could stop global warming http://t.co/8ZHsQaH98K,601920696374140928,rt seb00tylici0us: his smile could stop global warming,2015-05-23 03:20:51.818,0.2263,0.333,0.488,0.179,positive,2015-05
-1,ICYMI: @ezralevant (VIDEO) Obama to Coast Guard grads: Climate change is linked to Islamic terror http://t.co/V62FUnVix2 #tcot,601780823675789313,icymi: ezralevant video obama to coast guard grads: climate change is linked to islamic terror tcot,2015-05-22 18:05:03.568,-0.5267,0.0,0.825,0.175,negative,2015-05
1,RT @Libertea2012: Stephen Colbert warns graduates: Fight racism and climate change or prepare to… http://t.co/4sBgnDuIGs #UniteBlue http://…,600449983112871938,rt libertea2012: stephen colbert warns graduates: fight racism and climate change or prepare to uniteblue,2015-05-19 01:56:46.452,-0.7964,0.0,0.633,0.367,negative,2015-05
2,"MSNBC, HuffPo, Other Media Link Texas Floods To Climate Change… - CowboyByte http://t.co/vTtOoPLOUl",604252412036145152,"msnbc, huffpo, other media link texas floods to climate change cowboybyte",2015-05-29 13:46:16.153,0.0,0.0,1.0,0.0,neutral,2015-05
2,"Study:EPA$q$s climate change plan cld save thousands of lives,through indirect health benefits of closing coal plants.
http://t.co/JMZWFpI5dh",595304274600534017,"study:epa q s climate change plan cld save thousands of lives,through indirect health benefits of closing coal plants.",2015-05-04 21:09:33.940,0.7003,0.279,0.721,0.0,positive,2015-05
1,RT @BarackObama: Too many elected officials are still in denial about climate change. Join the team holding them accountable: http://t.co/U…,597101542974615553,rt barackobama: too many elected officials are still in denial about climate change. join the team holding them accountable:,2015-05-09 20:11:16.112,0.296,0.104,0.896,0.0,positive,2015-05
-1,POPE FRANCIS CALLING FOR GLOBAL WEALTH REDISTRIBUTION TO STOP GLOBAL WARMING http://t.co/NbrcgO28lK,594992744067502080,pope francis calling for global wealth redistribution to stop global warming,2015-05-04 00:31:39.273,0.516,0.344,0.495,0.161,positive,2015-05
0,RT @ChrisMegerian: Here$q$s where Jerry Brown will sign a new climate change agreement in Sacramento http://t.co/V1OW5Bfczf,600739240176197634,rt chrismegerian: here q s where jerry brown will sign a new climate change agreement in sacramento,2015-05-19 21:06:10.710,0.4939,0.186,0.814,0.0,positive,2015-05
0,"RT @Senyora: Ang init-init ng panahon, tas ang lamig-lamig ng relasyon n$q$yo. Grabe na talaga naidudulot ng climate change ano?",599523707816546305,"rt senyora: ang init init ng panahon, tas ang lamig lamig ng relasyon n q yo. grabe na talaga naidudulot ng climate change ano?",2015-05-16 12:36:05.212,0.0,0.0,1.0,0.0,neutral,2015-05
1,"RT @dyzy: Wait and pay: action on climate change is cheap, delay is costly http://t.co/aYjOKNv5lk via @ConversationEDU",603686016470294528,"rt dyzy: wait and pay: action on climate change is cheap, delay is costly via conversationedu",2015-05-28 00:15:36.927,-0.4767,0.0,0.733,0.267,negative,2015-05
1,If you SERIOUSLY believe almost ALL of the scientists on our earth are lying about serious consequences of climate change... Smh,601238783787425792,if you seriously believe almost all of the scientists on our earth are lying about serious consequences of climate change... smh,2015-05-21 06:11:11.188,-0.8143,0.0,0.643,0.357,negative,2015-05
2,Bonn UN talks seek to trim unwieldy climate change plan - Reuters UK http://t.co/VMSdNAJg5z,605017077884329984,bonn un talks seek to trim unwieldy climate change plan reuters uk,2015-05-31 16:24:46.698,0.0,0.0,1.0,0.0,neutral,2015-05
2,Troubling new research says global warming will cut wheat yields http://t.co/bGiGXyRPVT,598227045152325632,troubling new research says global warming will cut wheat yields,2015-05-12 22:43:36.742,-0.6124,0.105,0.526,0.368,negative,2015-05
0,Obama to warn Coast Guard cadets global warming a national security ‘threat’ http://t.co/7zpYgTy4rX barry$q$s  ash heap of history speech,601053308631916544,obama to warn coast guard cadets global warming a national security threat barry q s ash heap of history speech,2015-05-20 17:54:10.465,0.3818,0.196,0.735,0.069,positive,2015-05
1,"Climate change imjacts food security as crop yields decline due to changes in temp, rainfall &amp; increased csimate variability.",600489289730908163,"climate change imjacts food security as crop yields decline due to changes in temp, rainfall amp; increased csimate variability.",2015-05-19 04:32:57.880,0.5423,0.209,0.791,0.0,positive,2015-05
2,mashable: Pope Francis makes moral case for acting to fight global warming. … … … http://t.co/s7vHzja9uM) http://t.co/qe8faJveWQ,594965498544132096,mashable: pope francis makes moral case for acting to fight global warming.,2015-05-03 22:43:23.434,-0.25,0.099,0.741,0.16,negative,2015-05
1,Reality &amp; sanity too:  Obama  $q$climate change deniers threaten national security$q$  http://t.co/g6bzsf6WsN #utpol #climatechange,603638061390499840,reality amp; sanity too: obama q climate change deniers threaten national security q utpol climatechange,2015-05-27 21:05:03.545,-0.5719,0.0,0.719,0.281,negative,2015-05
2,Judge rules against teenage plaintiffs in climate change lawsuit - The Register-Guard http://t.co/3FCRzt0OA4,597881403041312770,judge rules against teenage plaintiffs in climate change lawsuit the register guard,2015-05-11 23:50:09.241,-0.2263,0.0,0.853,0.147,negative,2015-05
-1,"RT @Bennettruth: Global cooling, global warming, climate change. Any tips on what they$q$re going to call it next? 
I$q$d go with $q$weather.$q$ #A…",603987929648668672,"rt bennettruth: global cooling, global warming, climate change. any tips on what they q re going to call it next? i q d go with q weather. q a",2015-05-28 20:15:18.638,0.1531,0.068,0.932,0.0,positive,2015-05
2,"In a totally unexpected stance | Climate change must be tackled by the markets, say City grandees http://t.co/zgZvR7OQPq",595877060314292224,"in a totally unexpected stance climate change must be tackled by the markets, say city grandees",2015-05-06 11:05:36.696,0.296,0.128,0.872,0.0,positive,2015-05
1,GLOBAl warming&gt;&gt;&gt;&gt;&gt;In pictures: Deadly India heatwave http://t.co/ymBKMRIkiN via @newvisionwire,603550693023092736,global warming gt; gt; gt; gt; gt;in pictures: deadly india heatwave via newvisionwire,2015-05-27 15:17:53.303,0.0,0.0,1.0,0.0,neutral,2015-05
0,RT @climatechange_a: From badgers to climate change: U.K. publishes Prince Charles? controversial secret letters to officials http://t.co/M…,604511210654932993,rt climatechange_a: from badgers to climate change: u.k. publishes prince charles? controversial secret letters to officials,2015-05-30 06:54:38.552,-0.2023,0.0,0.899,0.101,negative,2015-05
1,RT @MarkRuffalo: Dear @POTUS if Climate Change is a national security threat why are you allowing drilling in parks and wildlife areas? #ke…,603992809826295809,rt markruffalo: dear potus if climate change is a national security threat why are you allowing drilling in parks and wildlife areas? ke,2015-05-28 20:34:42.163,0.1531,0.182,0.693,0.124,positive,2015-05
0,"Lilla Ahrne presents food manufacture RI needs driven by challenges food industry faces (incl climate change, personalised diet) @EuroDISH",599150310590840834,"lilla ahrne presents food manufacture ri needs driven by challenges food industry faces incl climate change, personalised diet eurodish",2015-05-15 11:52:20.376,0.0772,0.067,0.933,0.0,positive,2015-05
0,Evidence of Global Warming - http://t.co/99hQDzN3li http://t.co/qbJ8wVW3zq,602278786231508992,evidence of global warming,2015-05-24 03:03:47.093,0.1531,0.242,0.758,0.0,positive,2015-05
1,"RT @dmccaulay: Dear Parliamentarians: $q$extended dry periods$q$ are now the new normal. That$q$s what climate change means, not reason for works…",598526873635856385,"rt dmccaulay: dear parliamentarians: q extended dry periods q are now the new normal. that q s what climate change means, not reason for works",2015-05-13 18:35:01.423,0.3818,0.115,0.885,0.0,positive,2015-05
1,"Rotary Green Is Pile Better Precluding Many People Believe - With global warming getting worse annually, a... http://t.co/YEsdiTJcja",596736218483810304,"rotary green is pile better precluding many people believe with global warming getting worse annually, a...",2015-05-08 19:59:35.966,0.1027,0.208,0.648,0.144,positive,2015-05
1,RT @organicweek: Recent study suggest organic farming can reverse global warming. http://t.co/EZBlrUrGTv #GlobalWarming #ThinkBeforeYouEat,598574463987392513,rt organicweek: recent study suggest organic farming can reverse global warming. globalwarming thinkbeforeyoueat,2015-05-13 21:44:07.847,0.1531,0.11,0.89,0.0,positive,2015-05
-1,RT @blakehalltexas: 43 dead in hours-long firefight on Mexican ranch http://t.co/Wlsymw5OxD ...&amp; according to Obama Climate Change is more …,602144595351347201,rt blakehalltexas: 43 dead in hours long firefight on mexican ranch ... amp; according to obama climate change is more,2015-05-23 18:10:33.494,-0.6486,0.0,0.807,0.193,negative,2015-05
2,Security risks: The tenuous link between climate change and national security http://t.co/9UiC1yvVZH,602843857219362817,security risks: the tenuous link between climate change and national security,2015-05-25 16:29:10.515,0.4019,0.302,0.566,0.132,positive,2015-05
-1,"RT @weknowwhatsbest: Today, while fighting Global Warming near Florida, the Coast Guard fired 3 rounds at a hurricane, causing it to quickl…",601739185477791744,"rt weknowwhatsbest: today, while fighting global warming near florida, the coast guard fired 3 rounds at a hurricane, causing it to quickl",2015-05-22 15:19:36.248,-0.6705,0.065,0.688,0.247,negative,2015-05
-1,"In 100 yrs, when the temp is 1 degree higher, you$q$ll wish ISIS didn$q$t blow up gramps, so he could$q$ve seen what a t… https://t.co/NHwT9px2Fu",604625284135055360,"in 100 yrs, when the temp is 1 degree higher, you q ll wish isis didn q t blow up gramps, so he could q ve seen what a t",2015-05-30 14:27:55.789,0.4019,0.109,0.891,0.0,positive,2015-05
0,Mom: $q$global warming my ass$q$ 😂☁,601764875589693441,mom: q global warming my ass q,2015-05-22 17:01:41.248,0.1531,0.242,0.758,0.0,positive,2015-05
2,"Modi, Ban discuss climate change, UNSC reforms http://t.co/Y0gteyod3p",600543304577462272,"modi, ban discuss climate change, unsc reforms",2015-05-19 08:07:36.023,-0.5574,0.0,0.66,0.34,negative,2015-05
1,"RT @verge: Ragweed is invading Europe, and climate change will make it worse http://t.co/MsOlVtO6u7 http://t.co/iu07ioe4SB",602858244592246784,"rt verge: ragweed is invading europe, and climate change will make it worse",2015-05-25 17:26:20.732,-0.4767,0.0,0.819,0.181,negative,2015-05
1,RT @cgiarclimate: The Talking Toolkit: How smallholding farmers and local governments can together adapt to climate change http://t.co/OrO9…,604394242308448256,rt cgiarclimate: the talking toolkit: how smallholding farmers and local governments can together adapt to climate change,2015-05-29 23:09:51.125,0.0,0.0,1.0,0.0,neutral,2015-05
0,"RT @sdcnu: @ohholybutt and everyday subsequent, until global warming kills us all or w/e",597954183724179457,"rt sdcnu: ohholybutt and everyday subsequent, until global warming kills us all or w e",2015-05-12 04:39:21.508,-0.4404,0.094,0.702,0.205,negative,2015-05
1,"Shell own forecasts show Earth’s temp. will rise nearly 2x as much as the 2C threshold for dangerous climate change, https://t.co/So9O2Q8nro",600056340220932096,"shell own forecasts show earth s temp. will rise nearly 2x as much as the 2c threshold for dangerous climate change,",2015-05-17 23:52:34.673,-0.4767,0.0,0.866,0.134,negative,2015-05
1,This Is What Happens When You Elect Climate Change Deniers http://t.co/MFueBD3XAE,597968510082486272,this is what happens when you elect climate change deniers,2015-05-12 05:36:17.178,-0.2732,0.0,0.826,0.174,negative,2015-05
1,RT @ClimateGroup: Top businesses know it costs more to ignore climate change than to deal with it. Hear them at #CWParis from TODAY http://…,600445448713805824,rt climategroup: top businesses know it costs more to ignore climate change than to deal with it. hear them at cwparis from today,2015-05-19 01:38:45.367,-0.2449,0.068,0.828,0.105,negative,2015-05
-1,The Only People Denying Climate Change Are Those Calling Others Climate Change Deniers http://t.co/rMBUQVT0pc via @wattsupwiththat,602521303799631873,the only people denying climate change are those calling others climate change deniers via wattsupwiththat,2015-05-24 19:07:27.787,-0.5423,0.0,0.757,0.243,negative,2015-05
1,"RT @some_yeo: Finally, climate change is being taken seriously. Ben &amp; Jerry$q$s have released a climate change flavoured ice-cream. 
http://t…",604205205752791040,"rt some_yeo: finally, climate change is being taken seriously. ben amp; jerry q s have released a climate change flavoured ice cream.",2015-05-29 10:38:41.298,-0.1779,0.0,0.914,0.086,negative,2015-05
-1,"Obama. what an idiot. Global climate change has been occurring for millions and billions of years, dummy. https://t.co/pyIv9YUc6i",601763811503316992,"obama. what an idiot. global climate change has been occurring for millions and billions of years, dummy.",2015-05-22 16:57:27.550,-0.5106,0.0,0.837,0.163,negative,2015-05
1,RT @xtremesafety: Climate change has dire implications for human safety. http://t.co/OtfNb1Lcqq #safety #climate,603350056142516224,rt xtremesafety: climate change has dire implications for human safety. safety climate,2015-05-27 02:00:37.743,-0.0516,0.167,0.655,0.179,negative,2015-05
